zip,county,area_codes,latitude,longitude,estimated_population
98559,Grays Harbor County,"360, 564",46.96,-123.33,101
98560,Mason County,"360, 564",47.3,-123.43,240
98561,Pacific County,360,46.62,-123.64,196
98562,Grays Harbor County,"360, 564",47.24,-124.2,179
98563,Grays Harbor County,"360, 564",47.17,-123.6,7400
98564,Lewis County,"360, 564",46.48,-122.44,2310
98565,Lewis County,"360, 564",46.58,-122.91,1635
98566,Grays Harbor County,"360, 564",47.41,-123.97,144
98568,Grays Harbor County,"360, 564",46.83,-123.28,2220
98569,Grays Harbor County,"360, 564",46.97,-124.14,6660
98570,Lewis County,"360, 564",46.6,-122.67,4120
98571,Grays Harbor County,"360, 564",47.21,-124.19,300
98572,Lewis County,"360, 564",46.55,-123.31,810
98575,Grays Harbor County,"360, 564",47.44,-123.77,185
98576,Thurston County,"360, 564",46.87,-122.66,5240
98577,Pacific County,"360, 564",46.64,-123.63,5300
98579,Thurston County,"360, 564",46.8,-123.14,12110
98580,Pierce County,"253, 360, 564",46.98,-122.47,10010
98581,Cowlitz County,"360, 564",46.36,-123.07,290
98582,Lewis County,"360, 564",46.51,-122.63,740
98583,Grays Harbor County,"360, 564",47,-123.49,347
98584,Mason County,"253, 360, 564",47.23,-123.2,32680
98585,Lewis County,"360, 564",46.55,-122.46,700
98586,Pacific County,"360, 564",46.56,-123.88,1840
98587,Grays Harbor County,"360, 564",47.31,-124.22,793
98588,Mason County,"360, 564",47.44,-123.02,1660
98589,Thurston County,"360, 564",46.84,-122.85,7360
98590,Pacific County,"360, 564",46.71,-124,330
98591,Lewis County,"360, 564",46.45,-122.76,4270
98592,Mason County,"360, 564",47.33,-123.06,2080
98593,Lewis County,"360, 564",46.41,-122.99,1040
98595,Grays Harbor County,"360, 564",46.87,-124.11,2430
98596,Lewis County,"360, 564",46.48,-122.87,6490
98597,Thurston County,"253, 360, 564",46.87,-122.57,24610
98599,Thurston County,360,46.99,-122.87,0
98601,Clark County,"360, 564",45.93,-122.44,3510
98602,Klickitat County,509,45.85,-121.28,220
98603,Cowlitz County,"360, 564",46.01,-122.47,910
98604,Clark County,"360, 564",45.8,-122.48,37830
98605,Klickitat County,"360, 458, 509, 541, 564",45.77,-121.66,1250
98606,Clark County,"360, 564",45.73,-122.45,10600
98607,Clark County,"360, 503, 564, 971",45.64,-122.37,35350
98609,Cowlitz County,"360, 564",46.07,-122.87,133
98610,Skamania County,"360, 509, 564",45.79,-121.89,2690
98611,Cowlitz County,"360, 564",46.29,-122.95,9930
98612,Wahkiakum County,"360, 503, 564, 971",46.22,-123.31,2730
98613,Klickitat County,509,45.74,-120.93,430
98614,Pacific County,"360, 503, 564, 971",46.28,-123.91,478
98616,Cowlitz County,"360, 564",46.08,-122.18,270
98617,Klickitat County,"458, 509, 541",45.66,-121.13,937
98619,Klickitat County,509,45.98,-121.27,380
98620,Klickitat County,"458, 509, 541",45.84,-120.76,6500
98621,Wahkiakum County,"360, 564",46.35,-123.6,170
98622,Clark County,360,45.82,-122.48,348
98623,Klickitat County,509,45.8,-121.49,403
98624,Pacific County,"360, 503, 564, 971",46.31,-123.99,1160
98625,Cowlitz County,"360, 503, 564, 971",46.01,-122.7,7350
98626,Cowlitz County,"360, 564",46.14,-122.8,22730
98628,Klickitat County,509,45.85,-121.07,330
